step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.648066,4.264008,0.127512,4.256546,2026-04-26 16:52:15
100,1.0240,7.035307,3.029968,0.049249,3.956090,2026-04-26 16:52:26
200,2.0480,6.558974,2.745758,0.032091,3.781125,2026-04-26 16:52:36
300,3.0720,6.209194,2.529465,0.027943,3.651787,2026-04-26 16:52:45
400,4.0960,5.718493,2.265846,0.029879,3.422767,2026-04-26 16:52:54
500,5.1200,5.137085,1.970673,0.066367,3.100045,2026-04-26 16:53:03
600,6.1440,4.641908,1.762720,0.097188,2.782000,2026-04-26 16:53:12
700,7.1680,4.267091,1.627295,0.095923,2.543873,2026-04-26 16:53:22
800,8.1920,4.074758,1.540720,0.092279,2.441759,2026-04-26 16:53:31
900,9.2160,3.877844,1.486208,0.086883,2.304752,2026-04-26 16:53:42
1000,10.2400,3.862613,1.465057,0.096874,2.300682,2026-04-26 16:53:56
1100,11.2640,3.689132,1.411193,0.087263,2.190676,2026-04-26 16:54:07
1200,12.2880,3.483482,1.341140,0.081272,2.061070,2026-04-26 16:54:17
1300,13.3120,3.397525,1.320558,0.085572,1.991395,2026-04-26 16:54:26
1400,14.3360,3.326883,1.318990,0.085088,1.922805,2026-04-26 16:54:36
1500,15.3600,3.314444,1.341654,0.087316,1.885474,2026-04-26 16:54:45
1600,16.3840,3.141959,1.263537,0.080767,1.797655,2026-04-26 16:54:55
1700,17.4080,2.950982,1.237975,0.093535,1.619471,2026-04-26 16:55:04
1800,18.4320,2.673828,1.197097,0.104529,1.372202,2026-04-26 16:55:13
1900,19.4560,2.533542,1.147982,0.104082,1.281478,2026-04-26 16:55:25
2000,20.4800,2.210032,1.050574,0.109585,1.049873,2026-04-26 16:55:38
2100,21.5040,2.147558,1.031838,0.112417,1.003303,2026-04-26 16:55:50
2200,22.5280,2.151166,1.059796,0.111419,0.979951,2026-04-26 16:55:59
2300,23.5520,2.135057,1.074707,0.115566,0.944784,2026-04-26 16:56:09
2400,24.5760,1.916069,0.950978,0.105480,0.859611,2026-04-26 16:56:18
2500,25.6000,2.032304,1.019967,0.108042,0.904295,2026-04-26 16:56:27
2600,26.6240,1.966574,1.004579,0.112242,0.849753,2026-04-26 16:56:36
2700,27.6480,1.919176,0.982815,0.112917,0.823444,2026-04-26 16:56:45
2800,28.6720,1.923689,1.005636,0.113566,0.804486,2026-04-26 16:56:54
2900,29.6960,1.896486,0.971177,0.103776,0.821533,2026-04-26 16:57:03
3000,30.7200,1.886102,0.989258,0.108327,0.788517,2026-04-26 16:57:16
3100,31.7440,1.919568,0.972968,0.103245,0.843355,2026-04-26 16:57:28
3200,32.7680,1.751052,0.897101,0.107399,0.746552,2026-04-26 16:57:37
3300,33.7920,1.628736,0.925555,0.114271,0.588910,2026-04-26 16:57:46
3400,34.8160,1.414213,0.947059,0.126028,0.341126,2026-04-26 16:57:55
3500,35.8400,1.211839,0.888050,0.122670,0.201119,2026-04-26 16:58:04
3600,36.8640,1.207164,0.939581,0.127602,0.139981,2026-04-26 16:58:13
3700,37.8880,1.064539,0.825841,0.120772,0.117925,2026-04-26 16:58:23
3800,38.9120,1.051430,0.867708,0.122889,0.060833,2026-04-26 16:58:31
3900,39.9360,1.148907,0.952033,0.124480,0.072395,2026-04-26 16:58:40
4000,40.9600,1.057324,0.881506,0.122602,0.053216,2026-04-26 16:58:49
4100,41.9840,0.917396,0.757103,0.118885,0.041408,2026-04-26 16:58:58
4200,43.0080,0.969782,0.808511,0.121423,0.039849,2026-04-26 16:59:11
4300,44.0320,1.027462,0.864639,0.121148,0.041675,2026-04-26 16:59:24
4400,45.0560,0.952573,0.790999,0.120085,0.041490,2026-04-26 16:59:34
4500,46.0800,0.827269,0.678571,0.115284,0.033414,2026-04-26 16:59:44
4600,47.1040,0.988301,0.825956,0.120211,0.042134,2026-04-26 16:59:53
4700,48.1280,1.115822,0.951493,0.128966,0.035363,2026-04-26 17:00:02
4800,49.1520,0.963288,0.806545,0.121515,0.035228,2026-04-26 17:00:12
4900,50.1760,0.934608,0.786888,0.116016,0.031704,2026-04-26 17:00:22
5000,51.2000,0.884395,0.742631,0.117267,0.024497,2026-04-26 17:00:31
5100,52.2240,0.866545,0.731648,0.118460,0.016437,2026-04-26 17:00:40
5200,53.2480,0.962195,0.818580,0.118857,0.024758,2026-04-26 17:00:52
5300,54.2720,0.958204,0.814893,0.118150,0.025162,2026-04-26 17:01:05
5400,55.2960,0.969242,0.820314,0.118377,0.030551,2026-04-26 17:01:17
