step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.784858,4.412567,0.134652,4.237638,2026-04-26 13:37:02
100,2.5600,6.375130,2.854385,0.043849,3.476896,2026-04-26 13:37:12
200,5.1200,5.621294,2.463394,0.030434,3.127465,2026-04-26 13:37:23
300,7.6800,4.342398,1.913345,0.047394,2.381659,2026-04-26 13:37:33
400,10.2400,3.543919,1.585443,0.028427,1.930050,2026-04-26 13:37:42
500,12.8000,3.340412,1.506355,0.023443,1.810614,2026-04-26 13:37:52
600,15.3600,3.063526,1.394686,0.022822,1.646018,2026-04-26 13:38:02
700,17.9200,3.198500,1.495613,0.022453,1.680435,2026-04-26 13:38:11
800,20.4800,3.056652,1.425219,0.026303,1.605130,2026-04-26 13:38:19
900,23.0400,2.999157,1.391368,0.025620,1.582169,2026-04-26 13:38:28
1000,25.6000,2.848359,1.318191,0.029766,1.500403,2026-04-26 13:38:36
1100,28.1600,3.006707,1.398630,0.029260,1.578817,2026-04-26 13:38:45
1200,30.7200,3.021631,1.419854,0.039573,1.562203,2026-04-26 13:38:58
1300,33.2800,2.808126,1.297962,0.062936,1.447228,2026-04-26 13:39:12
1400,35.8400,2.021579,1.061726,0.123208,0.836645,2026-04-26 13:39:25
1500,38.4000,1.213124,0.923105,0.129278,0.160741,2026-04-26 13:39:35
1600,40.9600,1.305775,1.070614,0.140664,0.094496,2026-04-26 13:39:45
1700,43.5200,1.132205,0.943388,0.125247,0.063569,2026-04-26 13:39:54
1800,46.0800,1.114222,0.946976,0.125144,0.042101,2026-04-26 13:40:03
1900,48.6400,1.049302,0.900800,0.120398,0.028104,2026-04-26 13:40:13
2000,51.2000,1.123178,0.957903,0.128215,0.037060,2026-04-26 13:40:22
2100,53.7600,1.003525,0.848235,0.117493,0.037798,2026-04-26 13:40:31
2200,56.3200,0.878188,0.745654,0.115424,0.017111,2026-04-26 13:40:41
2300,58.8800,1.036908,0.871726,0.126476,0.038705,2026-04-26 13:40:49
2400,61.4400,0.861435,0.725902,0.118014,0.017519,2026-04-26 13:40:57
2500,64.0000,0.873056,0.706226,0.124536,0.042294,2026-04-26 13:41:05
2600,66.5600,0.512055,0.384560,0.110261,0.017233,2026-04-26 13:41:13
2700,69.1200,0.539677,0.415811,0.108774,0.015091,2026-04-26 13:41:24
2800,71.6800,0.488679,0.365945,0.102917,0.019818,2026-04-26 13:41:33
2900,74.2400,0.483218,0.354469,0.105860,0.022889,2026-04-26 13:41:41
3000,76.8000,0.411121,0.289316,0.103261,0.018544,2026-04-26 13:41:51
3100,79.3600,0.488063,0.363944,0.112765,0.011354,2026-04-26 13:42:04
3200,81.9200,0.345826,0.223640,0.105558,0.016629,2026-04-26 13:42:14
3300,84.4800,0.350348,0.232018,0.104052,0.014278,2026-04-26 13:42:24
3400,87.0400,0.250807,0.143292,0.095786,0.011730,2026-04-26 13:42:33
3500,89.6000,0.353991,0.231622,0.107457,0.014912,2026-04-26 13:42:42
3600,92.1600,0.310687,0.197774,0.101490,0.011422,2026-04-26 13:42:51
3700,94.7200,0.270175,0.167727,0.094540,0.007908,2026-04-26 13:43:00
3800,97.2800,0.237243,0.122643,0.100278,0.014322,2026-04-26 13:43:08
3900,99.8400,0.227342,0.116191,0.096588,0.014563,2026-04-26 13:43:16
4000,102.4000,0.197251,0.093141,0.097343,0.006766,2026-04-26 13:43:24
4100,104.9600,0.217822,0.102684,0.098792,0.016346,2026-04-26 13:43:32
4200,107.5200,0.251509,0.131089,0.102361,0.018059,2026-04-26 13:43:41
4300,110.0800,0.233831,0.128235,0.094428,0.011168,2026-04-26 13:43:49
4400,112.6400,0.191572,0.087727,0.098534,0.005311,2026-04-26 13:44:01
4500,115.2000,0.197709,0.091044,0.098138,0.008527,2026-04-26 13:44:15
4600,117.7600,0.150959,0.053786,0.093450,0.003724,2026-04-26 13:44:27
4700,120.3200,0.184458,0.082565,0.093854,0.008039,2026-04-26 13:44:36
4800,122.8800,0.204781,0.097094,0.101983,0.005703,2026-04-26 13:44:46
4900,125.4400,0.253792,0.139833,0.101801,0.012158,2026-04-26 13:44:56
5000,128.0000,0.161905,0.062648,0.097242,0.002015,2026-04-26 13:45:05
5100,130.5600,0.176237,0.058650,0.097978,0.019609,2026-04-26 13:45:14
5200,133.1200,0.131063,0.034867,0.093801,0.002395,2026-04-26 13:45:24
5300,135.6800,0.152369,0.051579,0.098170,0.002620,2026-04-26 13:45:33
5400,138.2400,0.182581,0.079673,0.093949,0.008959,2026-04-26 13:45:41
5500,140.8000,0.169918,0.068071,0.092442,0.009405,2026-04-26 13:45:54
5600,143.3600,0.155232,0.054729,0.096066,0.004438,2026-04-26 13:46:08
5700,145.9200,0.155163,0.058261,0.092771,0.004131,2026-04-26 13:46:18
5800,148.4800,0.141334,0.042202,0.091454,0.007677,2026-04-26 13:46:28
5900,151.0400,0.159392,0.056053,0.096602,0.006737,2026-04-26 13:46:37
6000,153.6000,0.157804,0.048057,0.094804,0.014943,2026-04-26 13:46:47
6100,156.1600,0.116792,0.025837,0.087970,0.002985,2026-04-26 13:46:56
6200,158.7200,0.171829,0.069749,0.090426,0.011655,2026-04-26 13:47:06
6300,161.2800,0.153107,0.050146,0.099560,0.003401,2026-04-26 13:47:15
6400,163.8400,0.171558,0.074966,0.091422,0.005169,2026-04-26 13:47:24
6500,166.4000,0.137976,0.042196,0.089023,0.006758,2026-04-26 13:47:32
6600,168.9600,0.152521,0.053123,0.095192,0.004206,2026-04-26 13:47:41
6700,171.5200,0.153751,0.059780,0.090881,0.003091,2026-04-26 13:47:49
6800,174.0800,0.130409,0.034187,0.090303,0.005919,2026-04-26 13:47:57
6900,176.6400,0.115328,0.020595,0.085978,0.008755,2026-04-26 13:48:10
7000,179.2000,0.121861,0.027202,0.088454,0.006205,2026-04-26 13:48:24
7100,181.7600,0.115159,0.022399,0.087961,0.004800,2026-04-26 13:48:37
7200,184.3200,0.163609,0.068902,0.085439,0.009268,2026-04-26 13:48:46
