step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.840570,4.382904,0.131719,4.325948,2026-04-26 19:37:22
100,3.4133,6.152431,2.814224,0.037136,3.301072,2026-04-26 19:37:31
200,6.8267,5.055600,2.312256,0.060019,2.683325,2026-04-26 19:37:41
300,10.2400,3.490572,1.624569,0.032956,1.833048,2026-04-26 19:37:50
400,13.6533,2.754526,1.333718,0.026077,1.394731,2026-04-26 19:37:59
500,17.0667,2.619396,1.275313,0.025556,1.318527,2026-04-26 19:38:08
600,20.4800,2.688166,1.327746,0.024395,1.336024,2026-04-26 19:38:17
700,23.8933,2.531671,1.257915,0.027398,1.246359,2026-04-26 19:38:25
800,27.3067,2.500051,1.250950,0.032119,1.216982,2026-04-26 19:38:32
900,30.7200,2.676115,1.330657,0.035687,1.309770,2026-04-26 19:38:40
1000,34.1333,2.412381,1.185455,0.053006,1.173919,2026-04-26 19:38:48
1100,37.5467,2.202127,1.080703,0.071288,1.050136,2026-04-26 19:39:00
1200,40.9600,1.999876,1.018710,0.103041,0.878125,2026-04-26 19:39:13
1300,44.3733,1.801843,0.993640,0.111405,0.696798,2026-04-26 19:39:22
1400,47.7867,1.237128,0.742965,0.118581,0.375582,2026-04-26 19:39:31
1500,51.2000,0.975046,0.606527,0.111920,0.256600,2026-04-26 19:39:40
1600,54.6133,1.035700,0.749951,0.122081,0.163669,2026-04-26 19:39:49
1700,58.0267,0.902396,0.667692,0.119455,0.115249,2026-04-26 19:39:58
1800,61.4400,0.750537,0.578107,0.113075,0.059356,2026-04-26 19:40:07
1900,64.8533,0.849600,0.669482,0.123054,0.057064,2026-04-26 19:40:17
2000,68.2667,0.625429,0.482631,0.108350,0.034448,2026-04-26 19:40:25
2100,71.6800,0.649128,0.500192,0.114256,0.034681,2026-04-26 19:40:33
2200,75.0933,0.467881,0.339301,0.104825,0.023755,2026-04-26 19:40:40
2300,78.5067,0.549976,0.416935,0.110470,0.022570,2026-04-26 19:40:48
2400,81.9200,0.485872,0.358837,0.112380,0.014654,2026-04-26 19:41:00
2500,85.3333,0.491858,0.345235,0.116260,0.030363,2026-04-26 19:41:13
2600,88.7467,0.336835,0.220676,0.104182,0.011977,2026-04-26 19:41:23
2700,92.1600,0.374549,0.247980,0.111196,0.015373,2026-04-26 19:41:33
2800,95.5733,0.313877,0.196838,0.105886,0.011152,2026-04-26 19:41:42
2900,98.9867,0.363535,0.235911,0.109880,0.017743,2026-04-26 19:41:52
3000,102.4000,0.313602,0.185710,0.106282,0.021610,2026-04-26 19:42:01
3100,105.8133,0.220347,0.103677,0.098714,0.017956,2026-04-26 19:42:10
3200,109.2267,0.291317,0.155326,0.102963,0.033027,2026-04-26 19:42:19
3300,112.6400,0.202062,0.083560,0.105295,0.013207,2026-04-26 19:42:28
3400,116.0533,0.224329,0.108949,0.105507,0.009873,2026-04-26 19:42:36
3500,119.4667,0.224059,0.111725,0.100760,0.011575,2026-04-26 19:42:44
3600,122.8800,0.202229,0.091516,0.102452,0.008261,2026-04-26 19:42:52
3700,126.2933,0.189046,0.079424,0.103005,0.006618,2026-04-26 19:43:05
3800,129.7067,0.190969,0.066294,0.101827,0.022849,2026-04-26 19:43:18
3900,133.1200,0.165713,0.057547,0.099923,0.008243,2026-04-26 19:43:29
4000,136.5333,0.150661,0.046512,0.100746,0.003404,2026-04-26 19:43:39
4100,139.9467,0.193621,0.070715,0.104314,0.018593,2026-04-26 19:43:48
4200,143.3600,0.167232,0.048359,0.099030,0.019843,2026-04-26 19:43:58
4300,146.7733,0.161784,0.052952,0.104559,0.004273,2026-04-26 19:44:08
4400,150.1867,0.162792,0.055976,0.099549,0.007267,2026-04-26 19:44:18
4500,153.6000,0.140268,0.038956,0.098692,0.002619,2026-04-26 19:44:28
4600,157.0133,0.164512,0.041318,0.102760,0.020433,2026-04-26 19:44:37
4700,160.4267,0.153409,0.049812,0.101885,0.001712,2026-04-26 19:44:45
4800,163.8400,0.150424,0.048777,0.095069,0.006578,2026-04-26 19:44:53
4900,167.2533,0.146809,0.038590,0.104847,0.003371,2026-04-26 19:45:02
5000,170.6667,0.133348,0.025770,0.099802,0.007777,2026-04-26 19:45:14
5100,174.0800,0.120784,0.019125,0.095935,0.005724,2026-04-26 19:45:28
5200,177.4933,0.149527,0.046946,0.095322,0.007258,2026-04-26 19:45:40
5300,180.9067,0.149830,0.045484,0.101317,0.003030,2026-04-26 19:45:50
5400,184.3200,0.135145,0.033255,0.095407,0.006483,2026-04-26 19:45:59
5500,187.7333,0.120714,0.024923,0.092320,0.003471,2026-04-26 19:46:09
5600,191.1467,0.137621,0.033308,0.095834,0.008479,2026-04-26 19:46:18
5700,194.5600,0.117402,0.019293,0.092633,0.005476,2026-04-26 19:46:27
5800,197.9733,0.137279,0.035868,0.098614,0.002797,2026-04-26 19:46:37
5900,201.3867,0.157677,0.030413,0.102096,0.025167,2026-04-26 19:46:46
6000,204.8000,0.134009,0.037297,0.093105,0.003607,2026-04-26 19:46:56
6100,208.2133,0.128180,0.020511,0.091865,0.015804,2026-04-26 19:47:09
6200,211.6267,0.122617,0.016414,0.097933,0.008270,2026-04-26 19:47:22
6300,215.0400,0.114083,0.022115,0.085624,0.006343,2026-04-26 19:47:32
6400,218.4533,0.134256,0.032275,0.097804,0.004176,2026-04-26 19:47:41
6500,221.8667,0.122890,0.024075,0.094568,0.004247,2026-04-26 19:47:50
6600,225.2800,0.112326,0.017931,0.091421,0.002973,2026-04-26 19:47:59
6700,228.6933,0.109588,0.017795,0.088390,0.003403,2026-04-26 19:48:08
6800,232.1067,0.157404,0.040629,0.104226,0.012550,2026-04-26 19:48:21
6900,235.5200,0.105163,0.013719,0.089136,0.002308,2026-04-26 19:48:33
7000,238.9333,0.121103,0.020479,0.098435,0.002188,2026-04-26 19:48:43
7100,242.3467,0.113824,0.015368,0.094355,0.004101,2026-04-26 19:48:52
7200,245.7600,0.115325,0.016438,0.091823,0.007063,2026-04-26 19:49:01
7300,249.1733,0.124330,0.025073,0.091698,0.007559,2026-04-26 19:49:09
7400,252.5867,0.128143,0.030601,0.093074,0.004467,2026-04-26 19:49:19
7500,256.0000,0.113636,0.017580,0.090720,0.005336,2026-04-26 19:49:28
7600,259.4133,0.119570,0.023820,0.094096,0.001654,2026-04-26 19:49:36
7700,262.8267,0.106306,0.015340,0.085657,0.005309,2026-04-26 19:49:45
7800,266.2400,0.120339,0.024714,0.094087,0.001538,2026-04-26 19:49:54
7900,269.6533,0.103076,0.013863,0.087371,0.001842,2026-04-26 19:50:07
8000,273.0667,0.102579,0.006843,0.088069,0.007667,2026-04-26 19:50:20
8100,276.4800,0.101210,0.016966,0.082831,0.001413,2026-04-26 19:50:29
8200,279.8933,0.123452,0.035777,0.085055,0.002620,2026-04-26 19:50:38
