step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.815818,4.390869,0.153986,4.270963,2026-04-26 13:32:56
100,2.5600,6.637115,3.022171,0.037836,3.577108,2026-04-26 13:33:10
200,5.1200,5.888492,2.615341,0.029705,3.243446,2026-04-26 13:33:22
300,7.6800,4.488000,1.993046,0.045323,2.449631,2026-04-26 13:33:32
400,10.2400,3.626968,1.623529,0.038327,1.965111,2026-04-26 13:33:42
500,12.8000,3.148809,1.431039,0.054851,1.662919,2026-04-26 13:33:52
600,15.3600,2.600650,1.221611,0.066005,1.313033,2026-04-26 13:34:01
700,17.9200,2.487347,1.210070,0.061999,1.215278,2026-04-26 13:34:11
800,20.4800,2.245711,1.075890,0.057481,1.112340,2026-04-26 13:34:20
900,23.0400,2.233222,1.067741,0.063997,1.101483,2026-04-26 13:34:29
1000,25.6000,2.164739,1.057786,0.062478,1.044474,2026-04-26 13:34:41
1100,28.1600,2.118871,1.016795,0.065211,1.036865,2026-04-26 13:34:54
1200,30.7200,2.155775,1.038612,0.070051,1.047112,2026-04-26 13:35:06
1300,33.2800,1.671038,0.818002,0.082409,0.770627,2026-04-26 13:35:15
1400,35.8400,1.407524,0.729648,0.092336,0.585541,2026-04-26 13:35:25
1500,38.4000,1.302613,0.711974,0.092210,0.498429,2026-04-26 13:35:35
1600,40.9600,1.372730,0.738795,0.091467,0.542468,2026-04-26 13:35:45
1700,43.5200,1.208334,0.613649,0.085106,0.509578,2026-04-26 13:35:55
1800,46.0800,1.109409,0.553649,0.082361,0.473398,2026-04-26 13:36:05
1900,48.6400,1.093145,0.558046,0.084103,0.450996,2026-04-26 13:36:15
2000,51.2000,0.979831,0.474560,0.084197,0.421075,2026-04-26 13:36:26
2100,53.7600,0.842470,0.447207,0.090009,0.305255,2026-04-26 13:36:40
2200,56.3200,0.672173,0.387674,0.092448,0.192051,2026-04-26 13:36:53
2300,58.8800,0.668744,0.401172,0.099240,0.168331,2026-04-26 13:37:03
2400,61.4400,0.494443,0.318102,0.097658,0.078682,2026-04-26 13:37:12
2500,64.0000,0.567648,0.367768,0.102250,0.097630,2026-04-26 13:37:22
2600,66.5600,0.429063,0.273692,0.098791,0.056581,2026-04-26 13:37:31
2700,69.1200,0.463476,0.308260,0.099711,0.055505,2026-04-26 13:37:40
2800,71.6800,0.407055,0.260206,0.095118,0.051731,2026-04-26 13:37:49
2900,74.2400,0.413809,0.272447,0.096054,0.045308,2026-04-26 13:37:58
3000,76.8000,0.367280,0.237982,0.096106,0.033192,2026-04-26 13:38:08
3100,79.3600,0.377447,0.250387,0.095994,0.031065,2026-04-26 13:38:17
3200,81.9200,0.416206,0.289661,0.097042,0.029503,2026-04-26 13:38:26
3300,84.4800,0.318826,0.200919,0.090999,0.026907,2026-04-26 13:38:35
3400,87.0400,0.304619,0.194469,0.089892,0.020258,2026-04-26 13:38:45
3500,89.6000,0.290906,0.178232,0.090374,0.022301,2026-04-26 13:38:59
3600,92.1600,0.327928,0.210837,0.091896,0.025194,2026-04-26 13:39:13
3700,94.7200,0.261373,0.156676,0.087156,0.017541,2026-04-26 13:39:27
3800,97.2800,0.264103,0.156061,0.090281,0.017761,2026-04-26 13:39:36
3900,99.8400,0.254187,0.146072,0.087035,0.021080,2026-04-26 13:39:45
4000,102.4000,0.261300,0.157635,0.090640,0.013026,2026-04-26 13:39:55
4100,104.9600,0.241797,0.137406,0.088240,0.016151,2026-04-26 13:40:04
4200,107.5200,0.256684,0.140763,0.091823,0.024098,2026-04-26 13:40:13
4300,110.0800,0.276426,0.169646,0.087202,0.019578,2026-04-26 13:40:22
4400,112.6400,0.206792,0.104856,0.086363,0.015573,2026-04-26 13:40:31
4500,115.2000,0.238765,0.129122,0.090440,0.019203,2026-04-26 13:40:41
4600,117.7600,0.186522,0.086833,0.086469,0.013220,2026-04-26 13:40:50
4700,120.3200,0.198544,0.101541,0.084517,0.012485,2026-04-26 13:40:59
4800,122.8800,0.200655,0.089450,0.091622,0.019582,2026-04-26 13:41:08
4900,125.4400,0.223542,0.115484,0.092868,0.015190,2026-04-26 13:41:17
5000,128.0000,0.165112,0.072891,0.083299,0.008921,2026-04-26 13:41:28
5100,130.5600,0.192613,0.081979,0.085556,0.025078,2026-04-26 13:41:36
5200,133.1200,0.152635,0.061719,0.083538,0.007378,2026-04-26 13:41:45
5300,135.6800,0.162734,0.067966,0.086597,0.008171,2026-04-26 13:41:57
5400,138.2400,0.159317,0.059281,0.084351,0.015685,2026-04-26 13:42:10
5500,140.8000,0.141092,0.050377,0.082174,0.008541,2026-04-26 13:42:19
5600,143.3600,0.166774,0.062401,0.085647,0.018727,2026-04-26 13:42:29
5700,145.9200,0.157512,0.064030,0.086160,0.007322,2026-04-26 13:42:39
5800,148.4800,0.139919,0.049294,0.082609,0.008016,2026-04-26 13:42:48
5900,151.0400,0.142782,0.047642,0.080272,0.014868,2026-04-26 13:42:57
6000,153.6000,0.155033,0.059590,0.083085,0.012358,2026-04-26 13:43:06
6100,156.1600,0.135226,0.037497,0.080069,0.017659,2026-04-26 13:43:15
6200,158.7200,0.121361,0.038196,0.076723,0.006442,2026-04-26 13:43:23
6300,161.2800,0.152060,0.058569,0.084550,0.008940,2026-04-26 13:43:32
6400,163.8400,0.129464,0.038442,0.078004,0.013019,2026-04-26 13:43:42
6500,166.4000,0.135977,0.045816,0.080101,0.010060,2026-04-26 13:43:50
6600,168.9600,0.159337,0.071324,0.081263,0.006750,2026-04-26 13:44:03
6700,171.5200,0.155113,0.064859,0.079893,0.010361,2026-04-26 13:44:17
6800,174.0800,0.119510,0.028957,0.080717,0.009837,2026-04-26 13:44:28
6900,176.6400,0.118867,0.037270,0.076965,0.004632,2026-04-26 13:44:37
7000,179.2000,0.145443,0.054152,0.080775,0.010516,2026-04-26 13:44:47
7100,181.7600,0.158647,0.071427,0.078859,0.008361,2026-04-26 13:44:56
7200,184.3200,0.135153,0.046536,0.076490,0.012126,2026-04-26 13:45:05
7300,186.8800,0.121629,0.039786,0.075868,0.005975,2026-04-26 13:45:14
7400,189.4400,0.111309,0.028732,0.077302,0.005275,2026-04-26 13:45:23
7500,192.0000,0.114185,0.033238,0.074733,0.006214,2026-04-26 13:45:31
7600,194.5600,0.116282,0.031916,0.077300,0.007066,2026-04-26 13:45:39
7700,197.1200,0.101973,0.021578,0.073885,0.006510,2026-04-26 13:45:52
7800,199.6800,0.114903,0.036493,0.072162,0.006248,2026-04-26 13:46:06
7900,202.2400,0.124561,0.043448,0.075710,0.005403,2026-04-26 13:46:17
