step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.665365,4.245850,0.149456,4.270060,2026-04-26 11:57:45
100,3.4133,6.359200,2.928345,0.039324,3.391531,2026-04-26 11:57:54
200,6.8267,5.084832,2.367256,0.079445,2.638131,2026-04-26 11:58:03
300,10.2400,3.681662,1.718105,0.042652,1.920905,2026-04-26 11:58:11
400,13.6533,2.724675,1.304044,0.045481,1.375150,2026-04-26 11:58:19
500,17.0667,2.224581,1.096759,0.059037,1.068785,2026-04-26 11:58:28
600,20.4800,2.072839,1.045594,0.052065,0.975180,2026-04-26 11:58:37
700,23.8933,1.785804,0.901866,0.049306,0.834632,2026-04-26 11:58:45
800,27.3067,1.797118,0.917148,0.048691,0.831279,2026-04-26 11:58:54
900,30.7200,1.936486,1.001859,0.054557,0.880071,2026-04-26 11:59:03
1000,34.1333,1.609327,0.806034,0.055674,0.747619,2026-04-26 11:59:11
1100,37.5467,1.449270,0.746539,0.069322,0.633410,2026-04-26 11:59:20
1200,40.9600,1.145242,0.597598,0.071962,0.475682,2026-04-26 11:59:29
1300,44.3733,1.087205,0.595447,0.075857,0.415901,2026-04-26 11:59:37
1400,47.7867,0.948422,0.500940,0.071432,0.376050,2026-04-26 11:59:46
1500,51.2000,0.875824,0.464125,0.070824,0.340874,2026-04-26 11:59:55
1600,54.6133,0.897150,0.480883,0.070563,0.345704,2026-04-26 12:00:04
1700,58.0267,0.736057,0.348607,0.072791,0.314659,2026-04-26 12:00:12
1800,61.4400,0.548475,0.276566,0.077518,0.194391,2026-04-26 12:00:21
1900,64.8533,0.595423,0.318994,0.084100,0.192328,2026-04-26 12:00:29
2000,68.2667,0.402989,0.204893,0.079861,0.118235,2026-04-26 12:00:38
2100,71.6800,0.347198,0.179792,0.080979,0.086426,2026-04-26 12:00:47
2200,75.0933,0.300127,0.162395,0.081024,0.056709,2026-04-26 12:00:55
2300,78.5067,0.321150,0.194158,0.081012,0.045980,2026-04-26 12:01:04
2400,81.9200,0.246319,0.124007,0.078576,0.043736,2026-04-26 12:01:13
2500,85.3333,0.255360,0.131226,0.081203,0.042930,2026-04-26 12:01:22
2600,88.7467,0.223345,0.115416,0.078913,0.029016,2026-04-26 12:01:30
2700,92.1600,0.195533,0.093364,0.077014,0.025155,2026-04-26 12:01:39
2800,95.5733,0.217053,0.109193,0.076845,0.031014,2026-04-26 12:01:47
2900,98.9867,0.216223,0.115832,0.078236,0.022155,2026-04-26 12:01:56
3000,102.4000,0.166284,0.074230,0.077861,0.014193,2026-04-26 12:02:05
3100,105.8133,0.150391,0.060761,0.073700,0.015931,2026-04-26 12:02:14
3200,109.2267,0.164372,0.069845,0.073826,0.020701,2026-04-26 12:02:22
3300,112.6400,0.141274,0.056239,0.074659,0.010376,2026-04-26 12:02:31
3400,116.0533,0.135393,0.045509,0.077026,0.012858,2026-04-26 12:02:40
3500,119.4667,0.140306,0.056561,0.072271,0.011474,2026-04-26 12:02:48
3600,122.8800,0.123444,0.040130,0.073409,0.009906,2026-04-26 12:02:57
3700,126.2933,0.120148,0.038100,0.071355,0.010693,2026-04-26 12:03:06
3800,129.7067,0.141057,0.057552,0.073693,0.009812,2026-04-26 12:03:15
3900,133.1200,0.133004,0.049731,0.073015,0.010258,2026-04-26 12:03:24
4000,136.5333,0.116831,0.036156,0.071918,0.008757,2026-04-26 12:03:33
4100,139.9467,0.118535,0.038184,0.071887,0.008464,2026-04-26 12:03:41
4200,143.3600,0.108873,0.027608,0.072140,0.009126,2026-04-26 12:03:50
4300,146.7733,0.122365,0.040484,0.071405,0.010476,2026-04-26 12:03:58
4400,150.1867,0.106809,0.026961,0.071307,0.008541,2026-04-26 12:04:07
4500,153.6000,0.107474,0.027567,0.070639,0.009267,2026-04-26 12:04:16
4600,157.0133,0.107713,0.029595,0.070878,0.007240,2026-04-26 12:04:25
4700,160.4267,0.107140,0.034747,0.067686,0.004707,2026-04-26 12:04:33
4800,163.8400,0.093797,0.019289,0.068717,0.005791,2026-04-26 12:04:42
4900,167.2533,0.111229,0.032991,0.068980,0.009259,2026-04-26 12:04:51
5000,170.6667,0.104202,0.028773,0.068522,0.006908,2026-04-26 12:04:59
5100,174.0800,0.086461,0.010700,0.065520,0.010241,2026-04-26 12:05:08
5200,177.4933,0.086473,0.014210,0.066514,0.005749,2026-04-26 12:05:17
5300,180.9067,0.087671,0.016501,0.066852,0.004318,2026-04-26 12:05:25
5400,184.3200,0.091131,0.016469,0.066664,0.007998,2026-04-26 12:05:34
5500,187.7333,0.074047,0.005312,0.065016,0.003720,2026-04-26 12:05:43
5600,191.1467,0.082926,0.012018,0.067079,0.003828,2026-04-26 12:05:52
5700,194.5600,0.081688,0.015194,0.063307,0.003187,2026-04-26 12:06:01
5800,197.9733,0.090059,0.012313,0.068047,0.009700,2026-04-26 12:06:10
5900,201.3867,0.086109,0.014004,0.066546,0.005560,2026-04-26 12:06:19
6000,204.8000,0.096495,0.025313,0.065495,0.005686,2026-04-26 12:06:28
6100,208.2133,0.084587,0.016206,0.064884,0.003497,2026-04-26 12:06:38
6200,211.6267,0.096203,0.025080,0.064920,0.006203,2026-04-26 12:06:47
6300,215.0400,0.092927,0.020192,0.062496,0.010239,2026-04-26 12:06:56
6400,218.4533,0.082378,0.009303,0.065989,0.007086,2026-04-26 12:07:04
6500,221.8667,0.084702,0.014765,0.065726,0.004210,2026-04-26 12:07:13
6600,225.2800,0.074532,0.008889,0.061640,0.004003,2026-04-26 12:07:22
6700,228.6933,0.071980,0.008396,0.060484,0.003100,2026-04-26 12:07:31
6800,232.1067,0.083065,0.014737,0.065138,0.003190,2026-04-26 12:07:40
6900,235.5200,0.082785,0.008041,0.062910,0.011834,2026-04-26 12:07:49
7000,238.9333,0.085401,0.016580,0.065113,0.003708,2026-04-26 12:07:57
7100,242.3467,0.078766,0.008314,0.063522,0.006930,2026-04-26 12:08:06
7200,245.7600,0.079831,0.012943,0.063670,0.003219,2026-04-26 12:08:15
7300,249.1733,0.080194,0.014275,0.062713,0.003207,2026-04-26 12:08:23
7400,252.5867,0.077484,0.008848,0.065155,0.003481,2026-04-26 12:08:32
7500,256.0000,0.068661,0.003455,0.061331,0.003875,2026-04-26 12:08:41
7600,259.4133,0.081080,0.010524,0.064617,0.005939,2026-04-26 12:08:49
7700,262.8267,0.072008,0.007631,0.061990,0.002387,2026-04-26 12:08:58
7800,266.2400,0.086104,0.016835,0.063653,0.005616,2026-04-26 12:09:07
7900,269.6533,0.083339,0.016680,0.062173,0.004486,2026-04-26 12:09:16
8000,273.0667,0.079547,0.014183,0.060424,0.004941,2026-04-26 12:09:24
8100,276.4800,0.068200,0.004137,0.061460,0.002602,2026-04-26 12:09:33
8200,279.8933,0.077414,0.013774,0.059097,0.004544,2026-04-26 12:09:42
8300,283.3067,0.079537,0.013967,0.059580,0.005989,2026-04-26 12:09:50
8400,286.7200,0.070531,0.007705,0.059750,0.003075,2026-04-26 12:09:59
8500,290.1333,0.080091,0.014295,0.061732,0.004064,2026-04-26 12:10:08
8600,293.5467,0.074240,0.013034,0.058148,0.003057,2026-04-26 12:10:17
8700,296.9600,0.081355,0.017725,0.059182,0.004448,2026-04-26 12:10:25
8800,300.3733,0.072893,0.008751,0.058404,0.005737,2026-04-26 12:10:34
8900,303.7867,0.065527,0.003663,0.057484,0.004379,2026-04-26 12:10:42
9000,307.2000,0.066971,0.004936,0.059459,0.002575,2026-04-26 12:10:51
9100,310.6133,0.079027,0.012935,0.063711,0.002381,2026-04-26 12:10:59
9200,314.0267,0.086207,0.016821,0.060421,0.008964,2026-04-26 12:11:09
9300,317.4400,0.061493,0.003073,0.056478,0.001942,2026-04-26 12:11:17
9400,320.8533,0.077750,0.015196,0.056243,0.006311,2026-04-26 12:11:26
9500,324.2667,0.072739,0.011531,0.058239,0.002969,2026-04-26 12:11:35
9600,327.6800,0.072959,0.012154,0.056219,0.004586,2026-04-26 12:11:43
9700,331.0933,0.066788,0.007384,0.057518,0.001886,2026-04-26 12:11:52
9800,334.5067,0.060982,0.002635,0.056263,0.002084,2026-04-26 12:12:00
9900,337.9200,0.063697,0.005740,0.056027,0.001930,2026-04-26 12:12:09
10000,341.3333,0.065142,0.005599,0.056937,0.002607,2026-04-26 12:12:18
10100,344.7467,0.068127,0.007799,0.057170,0.003158,2026-04-26 12:12:26
10200,348.1600,0.072665,0.010509,0.053172,0.008984,2026-04-26 12:12:35
10300,351.5733,0.073978,0.014593,0.057724,0.001661,2026-04-26 12:12:43
10400,354.9867,0.064498,0.006657,0.055595,0.002246,2026-04-26 12:12:52
10500,358.4000,0.064982,0.007431,0.055659,0.001892,2026-04-26 12:13:01
10600,361.8133,0.066309,0.008535,0.055467,0.002307,2026-04-26 12:13:09
10700,365.2267,0.072939,0.015575,0.054366,0.002998,2026-04-26 12:13:18
10800,368.6400,0.063156,0.004825,0.056262,0.002070,2026-04-26 12:13:26
10900,372.0533,0.058161,0.003140,0.052888,0.002133,2026-04-26 12:13:35
11000,375.4667,0.060244,0.003870,0.054971,0.001403,2026-04-26 12:13:44
11100,378.8800,0.065589,0.006505,0.053428,0.005656,2026-04-26 12:13:53
11200,382.2933,0.057299,0.002881,0.053022,0.001396,2026-04-26 12:14:01
11300,385.7067,0.059758,0.004766,0.053039,0.001952,2026-04-26 12:14:09
11400,389.1200,0.068004,0.011412,0.054647,0.001946,2026-04-26 12:14:18
11500,392.5333,0.062797,0.005961,0.051949,0.004888,2026-04-26 12:14:27
11600,395.9467,0.060507,0.005950,0.051893,0.002663,2026-04-26 12:14:36
11700,399.3600,0.057320,0.002317,0.052167,0.002835,2026-04-26 12:14:44
11800,402.7733,0.057737,0.004658,0.050677,0.002403,2026-04-26 12:14:53
11900,406.1867,0.056024,0.001695,0.051800,0.002529,2026-04-26 12:15:02
12000,409.6000,0.063918,0.008528,0.052999,0.002391,2026-04-26 12:15:10
12100,413.0133,0.052886,0.001996,0.049263,0.001627,2026-04-26 12:15:19
12200,416.4267,0.087439,0.027010,0.053300,0.007128,2026-04-26 12:15:27
12300,419.8400,0.062401,0.005379,0.052472,0.004549,2026-04-26 12:15:36
12400,423.2533,0.052073,0.002826,0.047952,0.001295,2026-04-26 12:15:44
12500,426.6667,0.061287,0.011734,0.048540,0.001013,2026-04-26 12:15:53
12600,430.0800,0.064046,0.006288,0.052882,0.004876,2026-04-26 12:16:02
12700,433.4933,0.061066,0.010278,0.049557,0.001231,2026-04-26 12:16:11
12800,436.9067,0.062570,0.009038,0.050161,0.003371,2026-04-26 12:16:19
12900,440.3200,0.054356,0.001999,0.050499,0.001859,2026-04-26 12:16:28
13000,443.7333,0.055501,0.003044,0.050439,0.002018,2026-04-26 12:16:37
13100,447.1467,0.051153,0.001229,0.047957,0.001967,2026-04-26 12:16:45
13200,450.5600,0.052982,0.002166,0.048890,0.001926,2026-04-26 12:16:54
13300,453.9733,0.050751,0.001276,0.047872,0.001603,2026-04-26 12:17:03
13400,457.3867,0.053349,0.002067,0.049700,0.001582,2026-04-26 12:17:11
13500,460.8000,0.053082,0.001713,0.049747,0.001623,2026-04-26 12:17:20
13600,464.2133,0.051155,0.001014,0.047666,0.002474,2026-04-26 12:17:29
13700,467.6267,0.050584,0.001555,0.047115,0.001914,2026-04-26 12:17:37
13800,471.0400,0.073403,0.020261,0.050183,0.002960,2026-04-26 12:17:45
13900,474.4533,0.054937,0.004502,0.049109,0.001326,2026-04-26 12:17:54
14000,477.8667,0.058525,0.008366,0.048047,0.002112,2026-04-26 12:18:03
14100,481.2800,0.052474,0.001450,0.048931,0.002094,2026-04-26 12:18:11
14200,484.6933,0.050439,0.001251,0.047944,0.001244,2026-04-26 12:18:20
14300,488.1067,0.051497,0.002692,0.047459,0.001347,2026-04-26 12:18:28
14400,491.5200,0.053499,0.005852,0.045893,0.001754,2026-04-26 12:18:37
14500,494.9333,0.050639,0.001665,0.047400,0.001574,2026-04-26 12:18:46
14600,498.3467,0.051245,0.003295,0.045834,0.002117,2026-04-26 12:18:54
14700,501.7600,0.048560,0.002033,0.045357,0.001170,2026-04-26 12:19:03
14800,505.1733,0.049383,0.003193,0.044724,0.001466,2026-04-26 12:19:12
14900,508.5867,0.050442,0.002630,0.046395,0.001417,2026-04-26 12:19:21
15000,512.0000,0.049763,0.002499,0.045192,0.002072,2026-04-26 12:19:30
15100,515.4133,0.054221,0.009119,0.043915,0.001187,2026-04-26 12:19:38
15200,518.8267,0.051774,0.003052,0.046150,0.002572,2026-04-26 12:19:47
15300,522.2400,0.049203,0.002826,0.044813,0.001565,2026-04-26 12:19:56
15400,525.6533,0.083842,0.036138,0.046059,0.001644,2026-04-26 12:20:05
15500,529.0667,0.047511,0.001457,0.043853,0.002201,2026-04-26 12:20:14
15600,532.4800,0.045992,0.000819,0.043808,0.001365,2026-04-26 12:20:23
15700,535.8933,0.045549,0.000834,0.042968,0.001747,2026-04-26 12:20:32
15800,539.3067,0.046810,0.001129,0.044424,0.001257,2026-04-26 12:20:40
15900,542.7200,0.062283,0.012769,0.045424,0.004090,2026-04-26 12:20:49
16000,546.1333,0.044098,0.001100,0.041954,0.001044,2026-04-26 12:20:58
16100,549.5467,0.052683,0.005906,0.043814,0.002963,2026-04-26 12:21:06
16200,552.9600,0.061042,0.013059,0.045916,0.002068,2026-04-26 12:21:15
16300,556.3733,0.045297,0.001512,0.042582,0.001203,2026-04-26 12:21:23
16400,559.7867,0.049194,0.002859,0.044641,0.001694,2026-04-26 12:21:32
16500,563.2000,0.045273,0.000910,0.042852,0.001512,2026-04-26 12:21:40
16600,566.6133,0.048563,0.003066,0.044218,0.001279,2026-04-26 12:21:49
16700,570.0267,0.044320,0.000851,0.042466,0.001002,2026-04-26 12:21:58
16800,573.4400,0.041960,0.000722,0.040293,0.000945,2026-04-26 12:22:06
16900,576.8533,0.043321,0.000889,0.041262,0.001169,2026-04-26 12:22:15
17000,580.2667,0.044756,0.000763,0.042686,0.001307,2026-04-26 12:22:24
17100,583.6800,0.050504,0.005331,0.043126,0.002047,2026-04-26 12:22:32
17200,587.0933,0.045256,0.001456,0.042334,0.001467,2026-04-26 12:22:40
17300,590.5067,0.045712,0.001423,0.042413,0.001877,2026-04-26 12:22:49
17400,593.9200,0.051580,0.006553,0.043647,0.001381,2026-04-26 12:22:57
17500,597.3333,0.049426,0.006347,0.041274,0.001805,2026-04-26 12:23:05
17600,600.7467,0.043510,0.001122,0.040877,0.001510,2026-04-26 12:23:14
17700,604.1600,0.051564,0.007870,0.042064,0.001630,2026-04-26 12:23:23
17800,607.5733,0.044705,0.001304,0.042225,0.001176,2026-04-26 12:23:31
17900,610.9867,0.047452,0.002922,0.042190,0.002340,2026-04-26 12:23:40
18000,614.4000,0.046415,0.001939,0.041512,0.002964,2026-04-26 12:23:49
18100,617.8133,0.051380,0.008210,0.041760,0.001410,2026-04-26 12:23:58
18200,621.2267,0.045356,0.002915,0.041244,0.001197,2026-04-26 12:24:06
18300,624.6400,0.042288,0.000675,0.040593,0.001020,2026-04-26 12:24:15
18400,628.0533,0.043324,0.000753,0.041556,0.001016,2026-04-26 12:24:24
18500,631.4667,0.044833,0.001649,0.042024,0.001160,2026-04-26 12:24:32
18600,634.8800,0.045677,0.001862,0.041391,0.002425,2026-04-26 12:24:40
18700,638.2933,0.043651,0.000723,0.040913,0.002015,2026-04-26 12:24:49
18800,641.7067,0.041594,0.001748,0.038879,0.000968,2026-04-26 12:24:58
18900,645.1200,0.042338,0.000613,0.040376,0.001350,2026-04-26 12:25:06
19000,648.5333,0.041011,0.000646,0.039154,0.001212,2026-04-26 12:25:15
19100,651.9467,0.042226,0.000843,0.040076,0.001307,2026-04-26 12:25:23
19200,655.3600,0.041365,0.000630,0.039012,0.001723,2026-04-26 12:25:32
19300,658.7733,0.040310,0.000579,0.038917,0.000815,2026-04-26 12:25:40
19400,662.1867,0.040794,0.000559,0.039381,0.000855,2026-04-26 12:25:49
19500,665.6000,0.041644,0.000849,0.039453,0.001342,2026-04-26 12:25:58
19600,669.0133,0.039845,0.000524,0.038228,0.001093,2026-04-26 12:26:07
19700,672.4267,0.039922,0.000611,0.038376,0.000935,2026-04-26 12:26:15
