step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.746370,4.356293,0.130379,4.259699,2026-04-26 14:43:56
100,1.2800,7.078963,3.118912,0.044861,3.915190,2026-04-26 14:44:05
200,2.5600,6.480218,2.805023,0.030023,3.645171,2026-04-26 14:44:14
300,3.8400,6.033688,2.496979,0.024386,3.512323,2026-04-26 14:44:23
400,5.1200,5.443990,2.195381,0.023470,3.225138,2026-04-26 14:44:32
500,6.4000,4.782094,1.918581,0.030795,2.832718,2026-04-26 14:44:41
600,7.6800,4.479766,1.805679,0.025856,2.648230,2026-04-26 14:44:50
700,8.9600,4.220541,1.692776,0.025141,2.502624,2026-04-26 14:44:59
800,10.2400,4.113204,1.681233,0.026647,2.405323,2026-04-26 14:45:12
900,11.5200,4.063425,1.656224,0.026091,2.381110,2026-04-26 14:45:22
1000,12.8000,4.050037,1.662036,0.024186,2.363815,2026-04-26 14:45:32
1100,14.0800,3.961388,1.624077,0.023559,2.313752,2026-04-26 14:45:41
1200,15.3600,4.029522,1.678517,0.023469,2.327536,2026-04-26 14:45:51
1300,16.6400,3.967464,1.627053,0.025968,2.314444,2026-04-26 14:46:00
1400,17.9200,3.952031,1.623704,0.026023,2.302303,2026-04-26 14:46:09
1500,19.2000,4.104342,1.666472,0.023522,2.414347,2026-04-26 14:46:18
1600,20.4800,4.062220,1.667021,0.025740,2.369459,2026-04-26 14:46:26
1700,21.7600,3.888508,1.596585,0.026390,2.265532,2026-04-26 14:46:35
1800,23.0400,3.981954,1.610445,0.027676,2.343833,2026-04-26 14:46:48
1900,24.3200,4.137767,1.693422,0.024858,2.419487,2026-04-26 14:47:01
2000,25.6000,4.055708,1.664872,0.028328,2.362508,2026-04-26 14:47:12
2100,26.8800,3.888369,1.575552,0.029689,2.283128,2026-04-26 14:47:21
2200,28.1600,3.968822,1.605509,0.030104,2.333209,2026-04-26 14:47:31
2300,29.4400,3.881904,1.588742,0.031298,2.261864,2026-04-26 14:47:40
2400,30.7200,3.928817,1.588282,0.034899,2.305636,2026-04-26 14:47:49
2500,32.0000,3.853179,1.545543,0.034100,2.273536,2026-04-26 14:47:59
2600,33.2800,4.045208,1.674587,0.032776,2.337845,2026-04-26 14:48:08
2700,34.5600,3.959361,1.613775,0.028407,2.317179,2026-04-26 14:48:17
2800,35.8400,3.987734,1.642588,0.029518,2.315628,2026-04-26 14:48:29
2900,37.1200,3.975693,1.646281,0.033251,2.296161,2026-04-26 14:48:41
3000,38.4000,4.067533,1.702885,0.031050,2.333598,2026-04-26 14:48:51
3100,39.6800,3.904817,1.618885,0.037721,2.248211,2026-04-26 14:49:00
3200,40.9600,3.825061,1.545653,0.035332,2.244076,2026-04-26 14:49:10
3300,42.2400,3.932148,1.612190,0.046739,2.273219,2026-04-26 14:49:19
3400,43.5200,3.982677,1.639346,0.032365,2.310966,2026-04-26 14:49:27
3500,44.8000,3.935240,1.589946,0.040235,2.305059,2026-04-26 14:49:35
3600,46.0800,3.834947,1.524212,0.036210,2.274525,2026-04-26 14:49:44
3700,47.3600,4.053219,1.658572,0.036545,2.358102,2026-04-26 14:49:52
3800,48.6400,3.932820,1.568026,0.041867,2.322926,2026-04-26 14:50:04
3900,49.9200,3.747636,1.510674,0.048336,2.188626,2026-04-26 14:50:17
4000,51.2000,3.653402,1.538970,0.097106,2.017326,2026-04-26 14:50:28
4100,52.4800,2.594372,1.423861,0.154184,1.016327,2026-04-26 14:50:37
4200,53.7600,2.072618,1.387139,0.163110,0.522369,2026-04-26 14:50:47
4300,55.0400,1.922094,1.389018,0.155144,0.377932,2026-04-26 14:50:56
4400,56.3200,1.962698,1.481679,0.158728,0.322292,2026-04-26 14:51:06
4500,57.6000,1.744030,1.415417,0.147174,0.181438,2026-04-26 14:51:15
4600,58.8800,1.760913,1.462120,0.146859,0.151934,2026-04-26 14:51:24
4700,60.1600,1.652417,1.373632,0.143550,0.135235,2026-04-26 14:51:33
4800,61.4400,1.646773,1.389204,0.144861,0.112708,2026-04-26 14:51:45
4900,62.7200,1.545277,1.313695,0.140915,0.090666,2026-04-26 14:51:58
5000,64.0000,1.666891,1.430607,0.147368,0.088916,2026-04-26 14:52:11
5100,65.2800,1.613268,1.391121,0.144905,0.077242,2026-04-26 14:52:21
5200,66.5600,1.518172,1.310650,0.141448,0.066073,2026-04-26 14:52:30
5300,67.8400,1.573450,1.363595,0.142734,0.067120,2026-04-26 14:52:39
5400,69.1200,1.562703,1.335491,0.141739,0.085473,2026-04-26 14:52:48
5500,70.4000,1.648478,1.419890,0.146097,0.082491,2026-04-26 14:52:57
5600,71.6800,1.663067,1.433682,0.147454,0.081932,2026-04-26 14:53:06
5700,72.9600,1.590982,1.369708,0.146556,0.074718,2026-04-26 14:53:15
5800,74.2400,1.605218,1.400385,0.148215,0.056617,2026-04-26 14:53:24
5900,75.5200,1.608016,1.397232,0.146425,0.064359,2026-04-26 14:53:36
6000,76.8000,1.611918,1.388469,0.146517,0.076933,2026-04-26 14:53:49
6100,78.0800,1.557552,1.332284,0.144004,0.081265,2026-04-26 14:53:59
6200,79.3600,1.570886,1.342316,0.147454,0.081116,2026-04-26 14:54:08
6300,80.6400,1.599720,1.403411,0.149068,0.047241,2026-04-26 14:54:17
6400,81.9200,1.462602,1.260888,0.139602,0.062112,2026-04-26 14:54:27
