step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
7700,78.8480,1.781783,1.479832,0.154075,0.147875,2026-04-26 17:08:23
7800,79.8720,1.759740,1.432956,0.143515,0.183269,2026-04-26 17:08:33
7900,80.8960,1.832320,1.475123,0.150300,0.206897,2026-04-26 17:08:42
8000,81.9200,1.776134,1.443646,0.146908,0.185579,2026-04-26 17:08:52
8100,82.9440,1.830848,1.517129,0.152567,0.161152,2026-04-26 17:09:01
8200,83.9680,1.758814,1.460254,0.145486,0.153074,2026-04-26 17:09:10
8300,84.9920,1.879673,1.540745,0.151991,0.186937,2026-04-26 17:09:18
8400,86.0160,1.700344,1.414681,0.144818,0.140845,2026-04-26 17:09:28
8500,87.0400,1.856764,1.518507,0.151513,0.186745,2026-04-26 17:09:40
8600,88.0640,1.702687,1.418068,0.145667,0.138953,2026-04-26 17:09:53
8700,89.0880,1.814336,1.477828,0.149801,0.186707,2026-04-26 17:10:03
8800,90.1120,1.783991,1.470637,0.150579,0.162775,2026-04-26 17:10:12
8900,91.1360,1.835846,1.499775,0.152140,0.183930,2026-04-26 17:10:22
9000,92.1600,1.930843,1.575230,0.155311,0.200303,2026-04-26 17:10:32
9100,93.1840,1.768685,1.490049,0.151054,0.127582,2026-04-26 17:10:41
9200,94.2080,1.822445,1.503142,0.154451,0.164852,2026-04-26 17:10:51
9300,95.2320,1.775140,1.469934,0.147598,0.157608,2026-04-26 17:11:00
9400,96.2560,1.785157,1.485728,0.150815,0.148614,2026-04-26 17:11:09
9500,97.2800,1.788403,1.495404,0.154074,0.138924,2026-04-26 17:11:22
9600,98.3040,1.682335,1.390821,0.148550,0.142965,2026-04-26 17:11:35
9700,99.3280,1.722353,1.422108,0.149379,0.150866,2026-04-26 17:11:45
9800,100.3520,1.730130,1.457108,0.150942,0.122080,2026-04-26 17:11:54
9900,101.3760,1.694241,1.407773,0.149697,0.136771,2026-04-26 17:12:04
10000,102.4000,1.786129,1.518776,0.156458,0.110896,2026-04-26 17:12:13
10100,103.4240,1.734736,1.487380,0.153221,0.094136,2026-04-26 17:12:23
10200,104.4480,1.732555,1.462085,0.152560,0.117910,2026-04-26 17:12:32
10300,105.4720,1.682496,1.423861,0.149563,0.109072,2026-04-26 17:12:41
10400,106.4960,1.580257,1.335899,0.147486,0.096872,2026-04-26 17:12:49
10500,107.5200,1.659631,1.392903,0.151298,0.115430,2026-04-26 17:13:02
10600,108.5440,1.695590,1.447133,0.153157,0.095299,2026-04-26 17:13:15
10700,109.5680,1.743165,1.486880,0.153513,0.102773,2026-04-26 17:13:26
10800,110.5920,1.680439,1.409414,0.153623,0.117402,2026-04-26 17:13:35
10900,111.6160,1.668762,1.405191,0.154102,0.109469,2026-04-26 17:13:45
11000,112.6400,1.730923,1.469403,0.158307,0.103213,2026-04-26 17:13:55
11100,113.6640,1.579817,1.329262,0.147297,0.103258,2026-04-26 17:14:04
11200,114.6880,1.711248,1.422907,0.156400,0.131941,2026-04-26 17:14:14
11300,115.7120,1.665514,1.407982,0.154218,0.103314,2026-04-26 17:14:23
11400,116.7360,1.650763,1.405206,0.154968,0.090589,2026-04-26 17:14:33
11500,117.7600,1.707525,1.464812,0.160316,0.082397,2026-04-26 17:14:46
11600,118.7840,1.585674,1.352132,0.154913,0.078629,2026-04-26 17:14:59
11700,119.8080,1.693073,1.434916,0.157614,0.100542,2026-04-26 17:15:09
11800,120.8320,1.685566,1.445902,0.157537,0.082127,2026-04-26 17:15:18
11900,121.8560,1.662975,1.402016,0.156476,0.104482,2026-04-26 17:15:28
12000,122.8800,1.688703,1.405962,0.158467,0.124275,2026-04-26 17:15:37
12100,123.9040,1.567719,1.333299,0.154503,0.079917,2026-04-26 17:15:47
12200,124.9280,1.716233,1.448919,0.162352,0.104962,2026-04-26 17:15:56
12300,125.9520,1.682510,1.444656,0.162635,0.075220,2026-04-26 17:16:05
12400,126.9760,1.616976,1.383534,0.160611,0.072831,2026-04-26 17:16:15
12500,128.0000,1.612790,1.369260,0.160857,0.082673,2026-04-26 17:16:28
12600,129.0240,1.613886,1.374038,0.161895,0.077954,2026-04-26 17:16:41
12700,130.0480,1.564152,1.343978,0.161624,0.058551,2026-04-26 17:16:53
12800,131.0720,1.583758,1.346074,0.162790,0.074894,2026-04-26 17:17:02
12900,132.0960,1.622923,1.391921,0.168165,0.062838,2026-04-26 17:17:12
13000,133.1200,1.518644,1.291056,0.162833,0.064755,2026-04-26 17:17:21
13100,134.1440,1.575703,1.345536,0.166651,0.063515,2026-04-26 17:17:30
13200,135.1680,1.476379,1.225682,0.163281,0.087416,2026-04-26 17:17:39
13300,136.1920,1.559073,1.317488,0.163687,0.077898,2026-04-26 17:17:49
13400,137.2160,1.386066,1.157825,0.164690,0.063551,2026-04-26 17:17:58
13500,138.2400,1.509797,1.277645,0.165337,0.066815,2026-04-26 17:18:10
13600,139.2640,1.335649,1.131801,0.160344,0.043504,2026-04-26 17:18:23
13700,140.2880,1.392633,1.169643,0.164950,0.058039,2026-04-26 17:18:34
13800,141.3120,1.336792,1.102993,0.162761,0.071037,2026-04-26 17:18:43
13900,142.3360,1.409838,1.183266,0.164386,0.062186,2026-04-26 17:18:53
14000,143.3600,1.351222,1.128695,0.163104,0.059422,2026-04-26 17:19:02
14100,144.3840,1.431710,1.213425,0.163764,0.054522,2026-04-26 17:19:12
